date,feature_index,NO2
2021-08-11T00:00:00.000Z,0,3.182068030582741E-5
2021-08-16T00:00:00.000Z,0,3.731666462651143E-5
2021-08-13T00:00:00.000Z,0,
2021-08-10T00:00:00.000Z,0,3.1619900983059776E-5
2021-08-14T00:00:00.000Z,0,3.7565409002127126E-5
2021-08-12T00:00:00.000Z,0,2.7451521115532767E-5
2021-08-15T00:00:00.000Z,0,2.655507887538988E-5
2021-08-09T00:00:00.000Z,0,
2022-01-29T00:00:00.000Z,0,2.3625257502620418E-5
2022-01-25T00:00:00.000Z,0,1.5254653590091038E-5
2022-01-31T00:00:00.000Z,0,
2022-01-24T00:00:00.000Z,0,1.3207261872594245E-5
2022-01-27T00:00:00.000Z,0,
2022-01-30T00:00:00.000Z,0,
2022-01-28T00:00:00.000Z,0,3.858000794328594E-5
2022-01-26T00:00:00.000Z,0,
2022-03-29T00:00:00.000Z,0,3.8369962567230687E-5
2022-04-04T00:00:00.000Z,0,2.6359215553384274E-5
2022-04-02T00:00:00.000Z,0,
2022-03-31T00:00:00.000Z,0,
2022-04-03T00:00:00.000Z,0,1.3870801603843575E-5
2022-03-30T00:00:00.000Z,0,4.4146560685476285E-5
2022-04-01T00:00:00.000Z,0,
2022-04-05T00:00:00.000Z,0,2.850293306740544E-5
2023-12-28T00:00:00.000Z,0,2.8448146622395143E-5
2023-12-22T00:00:00.000Z,0,2.6993408937414642E-5
2023-12-25T00:00:00.000Z,0,
2023-12-21T00:00:00.000Z,0,2.2644035046444817E-5
2023-12-27T00:00:00.000Z,0,2.5152653051918605E-5
2023-12-23T00:00:00.000Z,0,1.9284369045635685E-5
2023-12-26T00:00:00.000Z,0,
2023-12-24T00:00:00.000Z,0,2.1119103375137154E-5
2021-12-11T00:00:00.000Z,0,2.8319237571849953E-5
2021-12-10T00:00:00.000Z,0,
2021-12-09T00:00:00.000Z,0,3.3904265971311055E-5
2021-12-12T00:00:00.000Z,0,2.3285425716797665E-5
2021-12-13T00:00:00.000Z,0,
2021-12-07T00:00:00.000Z,0,2.412826597719686E-5
2021-12-14T00:00:00.000Z,0,4.0411599305419564E-5
2021-12-08T00:00:00.000Z,0,
2022-10-21T00:00:00.000Z,0,
2022-10-16T00:00:00.000Z,0,1.8610638714259647E-5
2022-10-20T00:00:00.000Z,0,
2022-10-19T00:00:00.000Z,0,2.2361504306900315E-5
2022-10-18T00:00:00.000Z,0,
2022-10-22T00:00:00.000Z,0,1.689295550022507E-5
2022-10-17T00:00:00.000Z,0,
2022-10-15T00:00:00.000Z,0,
2023-05-08T00:00:00.000Z,0,
